Deutsch,English,wk,freq
ich,I,0,5890279
sie,she,0,3806767
das,the,0,3122198
ist,is,0,3025610
du,you,0,2947020
nicht,not,0,2756783
die,the,0,2484854
es,it,0,2303025
und,and,0,2289891
der,the,0,1726001
wir,we,0,1721620
was,What,0,1696010
zu,to,0,1424706
er,he,0,1352161
ein,a,0,1315301
in,in,0,1231372
ja,Yes,0,1054114
mir,me,0,1019451
mit,with,0,1014541
wie,How,0,928920
den,the,0,920646
mich,me,0,893076
auf,on,0,881418
dass,that,0,879520
aber,but,0,854492
eine,one,0,839485
so,so,0,813903
hat,has,0,799017
hier,here,0,754243
haben,have,0,742327
für,for,0,735252
sind,are,0,727078
war,was,0,712337
von,from,0,706490
wenn,if,0,694462
dich,you,0,688780
ihr,her,0,655351
nein,no,0,641479
habe,have,0,636175
an,to,0,627600
bin,am,0,576589
noch,still,0,572486
nur,only,0,564245
da,there,0,564244
dir,you,0,554802
sich,itself,0,533395
einen,a,0,532402
uns,us,0,523604
hast,have,0,511491
dem,dem,0,465044
kann,can,0,461755
gut,good,0,452726
auch,also,0,449250
schon,already,0,442343
als,as,0,440490
sein,be,0,440142
mal,just,0,435631
jetzt,now,0,435411
ihn,him,0,435147
dann,then,0,429424
aus,out of,0,425184
meine,mine,0,420280
um,around,0,417759
im,in the,0,403737
wird,becomes,0,394216
mein,my,0,384765
bist,are,0,381498
doch,but,0,381456
alles,everything,0,366575
weiß,white,0,357869
keine,no,0,349315
oder,or,0,341214
nach,after,0,326208
s,s,0,309957
nichts,nothing,0,308672
man,man,0,300922
muss,must,0,295567
werden,become,0,294676
will,wants,0,293445
ihnen,them,0,292370
geht,goes,0,290919
wo,where,0,288363
etwas,something,0,286968
oh,Oh,0,284455
mehr,more,0,281301
bei,at,0,277087
also,so,0,276548
bitte,please,0,261548
immer,always,0,260238
hab,have,0,252697
warum,Why,0,251177
vor,before,0,247840
los,go,0,242543
können,can,0,240905
wieder,again,0,240508
sagen,say,0,236702
machen,make,0,228412
danke,Thanks,0,227937
sehr,very,0,226425
alle,all,0,224850
denn,because,0,224543
mann,man,0,222707
tun,do,0,219102
ihm,him,0,217025
zum,for the,0,216201
gehen,go,0,213952
sehen,see,0,212948
vielleicht,perhaps,0,212216
einem,one,0,210889
wer,who,0,210823
ihre,her,0,208915
diese,this,0,208607
euch,you,0,206931
einer,one,0,202097
komm,come,0,201117
über,above,0,196855
gibt,gives,0,196771
okay,OK,0,196683
wissen,knowledge,0,192456
deine,your,0,191923
müssen,must,0,191257
soll,should,0,191100
werde,become,0,187290
nie,never,0,185925
wirklich,really,0,185166
hey,hey,0,185011
kein,no,0,177553
viel,much,0,176767
weg,away,0,175124
würde,would,0,175047
tut,does,0,172752
am,on,0,170913
des,des,0,169182
einfach,simply,0,168892
leben,life,0,167721
hatte,had,0,162793
zeit,time,0,160393
weil,because,0,159743
willst,want,0,159106
kommen,come,0,156754
dein,your,0,155913
heute,today,0,154162
kommt,comes,0,153845
wollen,want,0,152595
damit,with it,0,150635
ganz,quite,0,149683
wäre,were,0,149557
wollte,wanted,0,148643
weißt,know,0,147614
ok,OK,0,147191
sicher,secure,0,145360
gesagt,said,0,144870
frau,woman,0,143725
nun,so,0,143552
bis,until,0,142166
wurde,became,0,141236
leid,sorrow,0,140641
na,n/a,0,140395
kannst,can,0,136795
macht,might,0,134768
dieser,this,0,134205
zurück,back,0,133326
lassen,let,0,131393
hallo,Hello,0,128561
meinen,mean,0,128288
gott,God,0,127498
seine,his,0,126038
hätte,would have,0,125345
zwei,two,0,122625
könnte,could,0,117870
genau,Exactly,0,117667
waren,were,0,117474
zur,to,0,115474
lass,let,0,115316
klar,clear,0,113688
morgen,morning,0,112042
leute,people,0,109956
vater,father,0,109048
schön,nice,0,106669
glaube,believe,0,105941
mr.,mr.,0,105640
ab,away,0,104853
gerade,straight,0,104130
tag,day,0,103559
gesehen,seen,0,103106
reden,talk,0,101992
wohl,probably,0,100488
liebe,love,0,99301
sollte,should,0,98826
sagte,said,0,98657
unsere,our,0,98478
jemand,someone,0,98283
geld,money,0,98052
durch,through,0,97587
ob,whether,0,97001
keinen,none,0,96394
mutter,mother,0,95349
raus,out,0,95012
gemacht,made,0,94261
paar,couple,0,93818
mach,do,0,93345
passiert,happened,0,93021
dachte,thought,0,92867
besser,better,0,92556
musst,must,0,92429
wieso,how come,0,92191
sir,sir,0,92012
dieses,this,0,91148
selbst,himself,0,90135
gehört,heard,0,89459
möchte,want,0,89068
ohne,without,0,88934
hör,listen,0,88336
her,here,0,87571
sag,say,0,87203
meiner,mine,0,86264
anderen,others,0,86205
helfen,help,0,85664
nacht,night,0,85102
finden,find,0,83987
diesen,this one,0,83932
gute,good,0,83835
wirst,will,0,83791
lange,long,0,82872
natürlich,naturally,0,82710
ach,Oh,0,82252
meinem,mine,0,82233
gar,even,0,82082
ins,into the,0,80529
sei,be,0,80433
dort,there,0,79951
weiter,further,0,79598
geben,give,0,78926
seit,since,0,78517
gleich,even,0,78080
sagt,says,0,78008
recht,right,0,77861
ihren,your,0,76796
richtig,correct,0,76789
ordnung,order,0,76635
vom,from the,0,76597
hören,hear,0,76109
sieht,sees,0,75968
davon,of that,0,75947
dafür,for that,0,75302
geh,go,0,74468
diesem,this one,0,74234
wegen,because of,0,74062
hause,home,0,73059
sollten,should,0,72777
mädchen,girl,0,72685
hin,there,0,72272
sollen,should,0,71445
abend,evening,0,71375
haus,a house,0,70976
denke,think,0,70824
viele,many,0,70545
drei,three,0,69824
deinen,yours,0,69621
freund,friend,0,69586
guten,good,0,68866
unser,our,0,68722
warte,wait,0,68407
machst,do,0,67926
menschen,people,0,67631
essen,eat,0,67594
angst,fear,0,67249
bleiben,remain,0,67238
zusammen,together,0,66885
welt,world,0,66821
unter,under,0,66173
habt,have,0,66045
schnell,fast,0,66011
andere,other,0,65229
tot,dead,0,64995
getan,did,0,64404
darf,may,0,64161
erst,first,0,64092
rein,pure,0,64028
stimmt,true,0,63896
nehmen,take,0,63773
kinder,children,0,63716
eines,one,0,63710
glauben,believe,0,63577
bringen,bring,0,63285
ganze,whole,0,62461
genug,enough,0,62381
scheiße,shit,0,61982
brauchen,need,0,61791
gegen,against,0,61438
moment,moment,0,61265
junge,boy,0,60843
steht,stands,0,60832
sonst,otherwise,0,60478
musik,music,0,59500
arbeit,work,0,59309
seid,are,0,58799
ihrer,theirs,0,58510
fragen,questions,0,58352
herr,Mr,0,58200
dabei,included,0,57923
heißt,is called,0,57306
familie,family,0,57288
warten,wait,0,56911
